reference_number,inn,common_ingredients,cas_number,ec_number,product_type,maximum_concentration,other,wording_of_conditions,regulation,regulated_by,other_regulations,sccs_opinions,chemical_name,identified_ingredients,cmr,update_date
2a,"Thioglycolic acid and its salts","THIOGLYCOLIC ACID",68-11-1,200-677-4,"(a) Hair products

(b) Depilatories

(c) Hair rinse-off products 

(d) Products intended for eyelash waving","(a) (i) 8%    (ii) 11% 

(b) 5% 

(c) 2%
 
(d) 11% The abovementioned percentages are calculated as thioglycollic acid","(a) (i) General use ready for use pH 7 to 9.5        (ii) Professional use ready for use pH 7 to 9.5

(b) ready for use pH 7 to 12.7

(c) ready for use pH 7 to 9.5

(d) ready for use pH 7 to 9,5


","Conditions of use:

(a) (b) (c) (d)
Avoid contact with eyes
Rinse eyes immediately if product comes into contact with them.

(a) (c) (d)
Wear suitable gloves

Warnings to be printed on the label:
(a)(i) (b) (c)
Contains thioglycolate
Follow the instructions
Keep out of reach of children

(a)(ii) (d)
For professional use only
Contains thioglycolate
Follow the instructions’
","(EU) 2015/1190",,"Thioglycolic acid and its salts (TGA)","Thioglycolic acid and its salts","AMMONIUM THIOGLYCOLATE,CALCIUM THIOGLYCOLATE,ETHANOLAMINE THIOGLYCOLATE,MAGNESIUM THIOGLYCOLATE,POTASSIUM THIOGLYCOLATE,SODIUM THIOGLYCOLATE,STRONTIUM THIOGLYCOLATE,THIOGLYCOLIC ACID,CALCIUM THIOGLYCOLATE HYDROXIDE",,27/07/2020
206,"3-(2-Hydroxyethyl)-p- phenylenediammonium sulphate","HYDROXYETHYL-P-PHENYLENE-DIAMINE SULFATE",93841-25-9,298-995-1,"(a) Hair dye sub­stance in oxidat­ive hair dye products
(b) Products in­tended for col­ouring eyelashes",,"(a) After mixing under ox­idative conditions the maximum concentra­tion applied to hair must not exceed 2,0 % (calculated as sulphate)
(b) After mixing under ox­idative conditions the maximum concentra­tion applied to eye­lashes must not exceed 1,75  % (calculated as free base)
(b) Professional use","(a) To be printed on the la­bel: The mixing ratio. “Hair colourants can cause severe allergic reac­tions. Read and follow instruc­tions. This product is not in­tended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irri­tated and damaged scalp, — you have ever experi­enced any reaction after colouring your hair,  —  you have experienced a  reaction to a tempor­ary ‘black henna’ tattoo in the past.”

(b) As from 3 March 2018, to be printed on the la­bel: The mixing ratio. “This product can cause severe allergic reactions. Read and  follow  instruc­tions. This  product is not in­tended for use on persons under the age of 16. Tem­porary ‘black henna’ tattoos may  increase the risk of al­lergy. Eyelashes shall not be co­loured if the consumer: — has a rash on the face or sensitive, irritated and damaged scalp, — has experienced any re­action after colouring hair or eyelashes, — has experienced a reac­tion to a temporary ‘black henna’ tattoo in the past. For professional use only. Rinse eyes immediately if product comes into contact with them”","(EU) 2017/237",,,"3-(2-Hydroxyethyl)-p- phenylenediammonium sulphate",,,27/07/2020
207,"1H-Indole-5,6-diol",DIHYDROXY-INDOLE,3131-52-0,412-130-9,"(a) Hair dye substance in oxidative hair dye products",,"(a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 0,5%","To be printed on the label:
Hair colorants can cause severe allergic reactions.","(EU) 2013/658",,,,,,09/09/2013
208,"1-(beta-Aminoethyl)amino-4-(beta-hydroxyethyl)oxy-2-nitrobenzene and its salts","HC ORANGE NO. 2",85765-48-6,416-410-1,"Hair dye substance in non-oxidative hair dye products",1.0%,"- Do not use with nitrosating systems
- Maximum nitrosamine content: 50 microgram/kg
- Keep in nitritefree containes"," Hair colorants can cause severe allergic reactions. 
Read and follow instructions.
.

","(EC) 2013/344",,"Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products,Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004,Opinion on Personal Use of Hair Dyes and Cancer Risk,Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk,Assessment Strategies for Hair Dyes,Memorandum on Hair Dye Substances and their Skin Sensitising Properties,Opinion on HC Orange No. 2",1-(beta-Aminoethyl)amino-4-(beta-hydroxyethyl)oxy-2-nitrobenzene,"HC ORANGE NO. 2",,24/07/2013
208,"5-Amino-4-chloro-2-methylphenol hydrochloride","5-Amino-4-Chloro-o-Cresol HCl",110102-85-7,-,"Hair dye substance in oxidative hair dye products",,"After mixing under oxidative conditions the maximum concentration to hair must not exceed 1,5% (calculated as hydrochloride).","To be printed on the label:
Hair colorants can cause severe allergic reactions.","(EU) 2013/658",,,"5-Amino-4-chloro-2-methylphenol hydrochloride",,,09/09/2013
209,1H-Indol-6-ol,6-Hydroxy-indole,2380-86-1,417-020-4,"Hair dye substance in oxidative hair dye products",,"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 0,5%.","To be printied on the label:
Hair colorants can cause severe allergic reactions.","(EU) 2013/658",,,"1H-Indol-6-ol ",,,09/09/2013
210,"1H-Indole-2,3-Dione",ISATIN,91-56-5,202-077-8,"Hair dye substance in non-oxidative hair dye products",1.6%,,"Hair colorants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if:
— you have a rash on your face or sensitive, irritated and damaged scalp, 
— you have ever experienced any reaction after colouring your hair, 
— you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.’","(EU) 2013/658",,,"1H-Indole-2,3-Dione",,,16/06/2014
211,"2-Aminopyridin-3-ol; 2-Amino-3-Hydroxypyridine",2-AMINO-3-HYDROXYPYRIDINE,16867-03-1,240-886-8,"(a) Hair dye sub­stance in oxidat­ive hair dye products
(b) Products in­tended for col­ouring eyelashes",,"(a) After mixing under ox­idative conditions the maximum concentra­tion applied to hair must not exceed 1,0 %
(b) After mixing under ox­idative conditions the maximum concentra­tion applied to eye­lashes must not exceed 0,5 % 
(b) Professional use","(a) To be printed on the la­bel: The mixing ratio. “Hair colourants can cause severe allergic reac­tions. Read and follow instruc­tions. This product is not in­tended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irri­tated and damaged scalp, — you have ever experi­enced any reaction after colouring your hair, —  you have experienced a reaction to a tempor­ary b‘lack  henna’ tattoo in the past.” 
(b) As from 3 March 2018, to be printed on the la­bel: The mixing ratio. “This product can cause severe allergic reactions. Read and  follow  instruc­tions. This product is not in­tended for use on persons under the age of 16. Tem­porary ‘black henna’ tattoos may increase the risk of al­lergy. Eyelashes shall  not be co­loured if the consumer: — has a rash on the face or sensitive, irritated and damaged scalp, — has experienced any re­action after colouring hair or eyelashes,— has experienced a reac­tion to a temporary ‘black henna’ tattoo in the past. For professional use only. Rinse eyes  immediately if product comes into contact with them”","(EU) 2017/237",,,"2-Aminopyridin-3-ol; 2-Amino-3-Hydroxypyridine ",,,27/07/2020
212,"2-Methyl-1-naphthyl acetate",1-Acetoxy-2-Methylnaph-thalene,5697-02-9,454-690-7,"Hair dye substance in oxidative hair dye products",,"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2,0% (When both 2-Methyl-1-Naphthol and 1-Acetoxy-2-Methylnaphthalene are present in a hair dye formulation, the maximum concentration on the head of 2-Methyl-1-Naphthol should not exceed 2,0%)",,"(EU) 2013/658",,,"2-Methyl-1-naphthyl acetate",,,09/09/2013
213,1-Hydroxy-2-methylnaphthalene,2-Methyl-1-Naphthol,7469-77-4,231-265-2,"Hair dye substance in oxidative hair dye products",,"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2,0% (When both 2-Methyl-1-Naphthol and 1-Acetoxy-2-Methylnaphthalene are present in a hair dye formulation, the maximum concentration on the head of 2-Methyl-1-Naphthol should not exceed 2,0%).","To be printed on the label:
Hair colorants can cause severe allergic reactions.","(EU) 2013/658",,,1-Hydroxy-2-methylnaphthalene,,,09/09/2013
214,"Disodium 5,7-dinitro-8-oxido-2- naphthalenesulfonate CI 1036","ACID YELLOW 1",846-70-8,212-690-2,"(a) Hair dye substance in oxidative hair dye products
(b) Hair dye substance in non-oxidative hair dye products","(b) 0,2%","(a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1,0%","To be printed on the label:
Hair colorants can cause severe allergic reactions","(EU) 2013/658",,,"Disodium 5,7-dinitro-8-oxido-2- naphthalenesulfonate  CI 1036","CI 10316",,09/09/2013
215,4-Amino-3-nitrophenol,4-AMINO-3-NITROPHENOL,610-81-1,210-236-8,"(a) Hair dye substance in oxidative hair dye products
(b)Hair dye substance in non-oxidative hair dye products
","(b) 1.0%
","(a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1,5 %

","(a) and (b) “ Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is  not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp,EN L 114/40 OJ EU25.4.2013 — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ...","(EC) 2013/344",,"Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products,Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004,Opinion on Personal Use of Hair Dyes and Cancer Risk,Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk,Assessment Strategies for Hair Dyes,Opinion on 4-Amino-3-nitrophenol,Memorandum on Hair Dye Substances and their Skin Sensitising Properties,Opinion on 4-Amino-3-nitrophenol",,4-AMINO-3-NITROPHENOL,,05/06/2014
216,"Naphthalene-2,7-diol","2,7-NAPHTHALENEDIOL",582-17-2,209-478-7,"(a) Hair dye substance in oxidative hair dye products
(b) Hair dye substance in non- oxidative hair dye products","(b) 1,0 %","a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1,0 %","(a) To be printed on the label: The mixing ratio. “ Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.","(EC) 2013/344",,"Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products,Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004,Opinion on Personal Use of Hair Dyes and Cancer Risk,Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk,Assessment Strategies for Hair Dyes,Opinion on 2,7-Naphthalenediol,Opinion on 2,7-Naphthalenediol,Memorandum on Hair Dye Substances and their Skin Sensitising Properties,Opinion on 2,7-Naphthalenediol",,"2,7-NAPHTHALENEDIOL",,05/06/2014
217,"m-Aminophenol and its salts","M-AMINOPHENOL; M-AMINOPHENOL HCL; M-AMINOPHENOL SULFATE","591-27-5/ 51-81-0 / 68239-81-6 /38171-54-9","209-711-2 / 200-125-2 / 269-475-1","(a) Hair dye substance in oxidative hair dye products
(b) Products intended for colouring eyelashes",,"For (a) and (b): After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 1,2 %
(b) For professional use only
","(a) To be printed on the label: The mixing ratio. “ Hair colorants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy.Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.”
(b) To be printed on the label: The mixing ratio. “For professional use only. This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase the risk of allergy. Eyelashes shall not be coloured if the consumer: — has a rash on the face or sensitive, irritated and damaged scalp, — has experienced any reaction after colouring hair or eyelashes,— has experienced a reaction to a temporary ‘black henna’ tattoo in the past. Rinse eyes immediately if product comes into contact with them.” ","(EC) 2013/1197",,"Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products,Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004,Opinion on Personal Use of Hair Dyes and Cancer Risk,Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk,Assessment Strategies for Hair Dyes,Opinion on m-Aminophenol,Opinion on m-Aminophenol,Memorandum on Hair Dye Substances and their Skin Sensitising Properties",,"M-AMINOPHENOL,M-AMINOPHENOL HCL,M-AMINOPHENOL SULFATE",,14/02/2014
218,"6-Hydroxy-3,4- dimethyl-2-pyridone","2,6-DIHYDROXY-3,4-DIMETHYLPYRIDINE",84540-47-6,283-141-2,"Hair dye substance in oxidative hair dye products",,"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1,0 %","To be printed on the label: The mixing ratio. “ Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a tempor","(EC) 2013/344",,"Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products,Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004,Opinion on Personal Use of Hair Dyes and Cancer Risk,Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk,Assessment Strategies for Hair Dyes,Opinion on 2,6-Dihydroxy-3,4-dimethylpyridine,Opinion on 2,6-Dihydroxy-3,4-dimethylpyridine,Memorandum on Hair Dye Substances and their Skin Sensitising Properties",,"2,6-DIHYDROXY-3,4-DIMETHYLPYRIDINE",,05/06/2014
219,"1-Hydroxy-3-nitro- 4-(3-hydroxypropy lamino)benzene",4-Hydroxypropylamino-3-nitrophenol,92952-81-3,406-305-9,"(a) Hair dye substance in oxidative hair dye products 
(b) Hair dye substance in non-oxidative hair dye products","(b) 2,6 % ","(a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 2,6 % calculated as free base. For (a) and (b): — Do not use with nitro sating agents — Maximum nitrosamine content: 50 μg /kg — Keep in nitrite-free containers ","(a) To be printed on the label: The mixing ratio. ‘ Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary “black henna” tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary “black henna” tattoo in the past.’ ","(EC) 2009/1223",,,,4-HYDROXYPROPYLAMINO-3-NITROPHENOL,,04/10/2023
220,"1-[(2′-Methoxye thyl)amino]-2-nitro- 4-[di-(2′-hydroxye thyl)amino]ben zene","HC Blue No 11",23920-15-2,459-980-7,"Hair dye substance in non-oxidative hair dye products","2,0 %","— Do not use with nitro sating agents
— Maximum nitrosamine content: 50 μg /kg
— Keep in nitrite-free containers ",,"(EC) 2009/1223",,,,"HC BLUE NO. 11",,04/10/2023
221,2-(4-Methyl-2-nitroanilino)ethanol,Hydroxyethyl-2-Nitro-p-Toluidine,100418-33-5,408-090-7,"(a) Hair dye substance in oxidative hair dye products
(b) Hair dye substance in non-oxidative hair dye products
","(b) 1,0%","(a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1,0%
For  (a) and (b):
- Do not use with nitrosating agents
- Maximum nitrosamine content 50 microgram/Kg
- Keep in nitrite-free containers","To be printed on the label:
Hair colorants can use severe allergic reactions","(EU) 2013/658",,,"2-(4-Methyl-2-nitroanilino)ethanol ",,,09/09/2013
222,"1-Hydroxy-2-beta-hydroxyethylamino-4,6-dinitrobenzene","2-HYDROXYETHYL PICRAMIC ACID",99610-72-7,412-520-9,"(a) Hair dye substance in oxidative hair day products 
(b) Hair dye substance in non-oxidative hair day products 
","(b) 2.0%
","(a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1,5%
For (a) and (b):
- Do not use with nitrosating agents
- Maximum nitrosamine content: 50 microgram/kg
- Kep in nitrite-free containers","(a) To be printed on the label: The mixing ratio. “ Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in","(EC) 2013/344",,"Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products,Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004,Opinion on Personal Use of Hair Dyes and Cancer Risk,Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk,Assessment Strategies for Hair Dyes,Opinion on 2-Hydroxyethyl picramic acid,Opinion on 2-Hydroxyethyl picramic acid,Memorandum on Hair Dye Substances and their Skin Sensitising Properties,Opinion on 2-Hydroxyethyl picramic acid",,"2-HYDROXYETHYL PICRAMIC ACID","Reprotoxic Cat. 2()",05/06/2014
223,"4-Methylaminophenol and its salts",P-METHYLAMINOPHENOL,"150-75-4 - 55-55-0 - 1936-57-8","205-768-2 - 200-237-1 - 217-706-1","Hair dye in oxidative hair dye products",,"Afther mixing under oxidative conditions the maximum concentration applied to hair must not exceed 0,68% (as sulphate)
- Do not use with nitrosating agents
- Maximum nitrosamine content: 50 microgram/Kg
- Keep in nitrite-free containers","Hair colourants can cause severe allergic reactions","(EC) 2013/344",,"Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products,Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004,Opinion on Personal Use of Hair Dyes and Cancer Risk,Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk,Assessment Strategies for Hair Dyes,Opinion on p-Methylaminophenol sulfate,Opinion concerning p-Methylaminophenol,Memorandum on Hair Dye Substances and their Skin Sensitising Properties",,"P-METHYLAMINOPHENOL,P-METHYLAMINOPHENOL SULFATE",,30/05/2013
224,"1-Propanol, 3-[[4-[bis(2-hydroxyethyl)amino]-2-nitrophenyl]amino]","HC Violet No 2",104226-19-9,410-910-3,"Hair dye substance in non-oxidative hair dye products","2,0  %","— Do not use with nitrosating agents

— Maximum nitrosamine content: 50 μg /kg

— Keep in nitrite-free containers","Can cause allergic reaction","(EC) 2009/1223",,,,"HC VIOLET No. 2",,04/10/2023
225,"1-(beta-Hydroxyethyl)amino-2-nitro-4-N-ethyl-N-(beta-hydroxyethyl)aminobenzene and its hydrocloride","HC BLUE NO. 12","104516-93-0 - 132885-85-9",407-020-2,"(a) Hair dye substance in oxidative hair dye products
(b)  Hair dye substance in non-oxidative hair dye products
","(b) 1.5% (as hydrocloride)
","(a) After mixing under oxidative conditions the maximum concentration applied to hair must not exceed  0.75% (as hydrochloride)
For (a) and (b):
- Do not use with nitrosating agents
-Maximum nitrosamine content: 50 microgram/Kg
- Keep in nitrite-free containers","(a) To be printed on the label: The mixing ratio. “ Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.","(EC) 2013/344",,"Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products,Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004,Opinion on Personal Use of Hair Dyes and Cancer Risk,Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk,Assessment Strategies for Hair Dyes,Opinion on HC Blue No. 12,Memorandum on Hair Dye Substances and their Skin Sensitising Properties,Opinion on HC Blue No. 12,Opinion on HC Blue No. 12","1-(beta-Hydroxyethyl)amino-2-nitro-4- N-ethyl-N-(.beta.- hydroxyethyl)aminobenzene and its hydrochloride","HC BLUE NO. 12",,05/06/2014
226,"4,4′-[1,3-Propanediylbis(oxy)]bisbenzene-1,3-diamine and its tetrahydrochloride salt","1,3-bis-(2,4-Diaminophenoxy)propane 1,3-bis-(2,4-Diaminophenoxy)propane HCl","81892-72-0 / 74918-21-1","279-845-4 / 278-022-7","(a)  Hair dye substance in oxidative hair dye products
(b)  Hair dye substance in non-oxidative hair dye products","(b)  1,2 % as free base (1,8 % as tetrahydrochloride salt)","(a)  After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1,2 % calculated as free base (1,8 % as tetrahydrochloride salt).
","(a)  To be printed on the label:
The mixing ratio.
‘imageHair colourants can cause severe allergic reactions.
Read and follow instructions.
This product is not intended for use on persons under the age of 16.
Temporary “black henna” tattoos may increase your risk of allergy.
Do not colour your hair if:
— you have a rash on your face or sensitive, irritated and damaged scalp,
— you have ever experienced any reaction after colouring your hair,
— you have experienced a reaction to a temporary “black henna” tattoo in the past.’
(b)  Can cause allergic reaction
","(EC) 2009/1223",,,,,,04/10/2023
227,"3-Amino-2,4-dichlorophenol and its hydrochloride","3-AMINO-2,4-DICHLOROPHENOL","61693-42-3 - 1693-43-4",262-909-0,"(a) Hair dye substance oxidative hair dye products
(b) Hair dye substance in non-oxidative hair dye products","(b) 1,5% (as hydrochloride)","After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1,5% (as hydrochloride)","(a) To be printed on the label: The mixing ratio. “ Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.

","(EC) 2013/344",,"Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products,Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004,Opinion on Personal Use of Hair Dyes and Cancer Risk,Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk,Assessment Strategies for Hair Dyes,Opinion on 3-Amino-2,4-dichlorophenol,Opinion on 3-Amino-2,4-dichlorophenol hydrochloride,Memorandum on Hair Dye Substances and their Skin Sensitising Properties,Opinion on 3-Amino-2,4-dichlorophenol HCl",,"3-AMINO-2,4-DICHLOROPHENOL,3-AMINO-2,4-DICHLOROPHENOL HCL",,05/06/2014
228,3-Methyl-1-phenyl-5-pyrazolone,"PHENYL METHYL PYRAZOLONE",89-25-8,201-891-0,"Hair dye subtance in oxidative hair dye products",,"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 0.25%.","To be printed on the label: The mixing ratio. “ Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.","(EC) 2013/344",,"Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products,Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004,Opinion on Personal Use of Hair Dyes and Cancer Risk,Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk,Assessment Strategies for Hair Dyes,Opinion on Phenyl methyl pyrazolone,Opinion concerning Phenylmethylpyrazolon,Memorandum on Hair Dye Substances and their Skin Sensitising Properties",,"PHENYL METHYL PYRAZOLONE",,05/06/2014
229,5-[(2-hydroxyethyl)amino]-o-cresol,"2-METHYL-5-HYDROXYETHYL AMINOPHENOL",55302-96-0,259-583-7,"(a) Hair dye substance in oxidatie hair dye products.
(b) Products intended for colouring eyelashes",,"For (a) and (b): After mixing under oxidative conditions the maximum concentration applied to hair or eyelashes must not exceed 1,5%
- Do not use with nitrosating agents
- Maximum nitrosamine content: 50 microgram/Kg
- Keep in nitrite-free containers","(a) To be printed on the label: The mixing ratio. “ Hair colorants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair, — you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.”
(b) To be printed on the label: The mixing ratio. “For professional use only. This product can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase the risk of allergy. Eyelashes shall not be coloured if the consumer: — has a rash on the face or sensitive, irritated and damaged scalp, — has experienced any reaction after colouring hair or eyelashes, — has experienced a reaction to a temporary ‘black henna’ tattoo in the past. Rinse eyes immediately if product comes into contact with them.” ’","(EC) 2013/1197",,"Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products,Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004,Opinion on Personal Use of Hair Dyes and Cancer Risk,Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk,Assessment Strategies for Hair Dyes,Opinion on 2-Methyl-5-hydroxyethylaminophenol,Opinion concerning 2-Methyl-5-hydroxyethylaminophenol,Memorandum on Hair Dye Substances and their Skin Sensitising Properties",,2-METHYL-5-HYDROXYETHYLAMINOPHENOL,,12/02/2014
230,"2,3-Dihydro-2H-1,4-benzoxazin-6-ol",HYDROXYBENZOMORPHOLINE,26021-57-8,247-415-5,"Hair dye substance in oxidative hair dye products",,"After mixing under oxidative conditions the maximum concentration applied to hair must not exceed 1.0%
- Do not use with nitrosating agents
- Maximum nitrosamine content: 50 micrograme/Kg
-Keep in nitrite-free containers","To be printed on the label: The mixing ratio. “ Hair colourants can cause severe allergic reactions. Read and follow instructions. This product is not intended for use on persons under the age of 16. Temporary ‘black henna’ tattoos may increase your risk of allergy. Do not colour your hair if: — you have a rash on your face or sensitive, irritated and damaged scalp, — you have ever experienced any reaction after colouring your hair,— you have experienced a reaction to a temporary ‘black henna’ tattoo in the past.","(EC) 2013/344",,"Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products,Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004,Opinion on Personal Use of Hair Dyes and Cancer Risk,Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk,Assessment Strategies for Hair Dyes,Opinion on Hydroxybenzomorpholine,Opinion concerning Hydroxybenzomorpholine,Memorandum on Hair Dye Substances and their Skin Sensitising Properties",,HYDROXYBENZOMORPHOLINE,,29/11/2023
231,"1,5-Di-(beta-hydroxyethylamino)-2-nitro-4-chlorobenzene (see note 17)","HC YELLOW NO. 10",109023-83-8,416-940-3,"Hair dye substance in non-oxidative hair dyes products ",0.1%,"- Do not use with nitrosating agents
- Maximum nitrosamine content: 50 microgram/kg
- Keep in nitrite-free containers",,"(EC) 2013/344",,"Request for a Re-evaluation of hair dyes listed in Annex III to Directive 76/768/EEC on Cosmetic Products,Opinion concerning Use of Permanent Hair Dyes and Bladder Cancer - Updated 2004,Opinion on Personal Use of Hair Dyes and Cancer Risk,Opinion on the Use of Permanent Hair Dyes and Bladder Cancer Risk,Assessment Strategies for Hair Dyes,Opinion on 1,5-Di(beta-hydroxyethylamino)-2-nitro-4-chlorobenzene,Opinion on HC Yellow No. 10","1,5-Di-(beta-hydroxyethylamino)-2-nitro-4-chlorobenzene","HC YELLOW NO. 10",,30/04/2014
